model,q,rank,all_params_finite_cv,cv_p1,cv_p2,max_cv
SIR,2,2,yes,0.0377,0.0956,0.0956
SEIR,4,3,no,inf,inf,inf
Goodwin,6,4,no,inf,inf,inf
JAK-STAT,6,4,no,inf,inf,inf
PK,5,4,no,inf,inf,inf
Michaelis-Menten,3,2,no,inf,inf,inf
Lotka-Volterra,4,3,no,inf,inf,inf
HIV,6,5,no,inf,inf,inf
