n_params,n_states,runtime_seconds
2,2,2.225000e-04
4,4,5.620000e-04
6,6,5.806000e-04
8,8,6.286000e-04
10,10,9.433000e-04
14,14,1.117600e-03
18,18,1.563700e-03
24,24,3.307000e-03
30,30,4.090800e-03
36,36,4.999100e-03
42,42,7.889600e-03
50,50,1.118120e-02
